LLM,Q1,Q2,Q3,Q4,Q5
Adv_B,4,2,2,3,4
Adv_D,4,2,3,2,5
Adv_C,2,4,3,2,2
Adv_B,2,1,3,1,1
Adv_B,3,3,3,3,3
Adv_D,3,4,3,3,3
Adv_B,2,3,1,3,1
Adv_B,3,3,2,2,2
Adv_B,4,4,3,1,4
Adv_D,4,1,3,4,1
Adv_D,2,2,2,2,1
Adv_A,4,5,4,5,5
Adv_D,4,4,1,2,3
Adv_C,3,3,3,3,3
Adv_D,3,2,1,1,2
Adv_D,5,4,3,2,4
Adv_B,3,1,1,3,1
Adv_D,3,2,2,2,4
Adv_D,3,3,2,4,2
Adv_D,4,2,3,5,5
Adv_D,4,4,3,2,3
Adv_D,4,2,4,4,2
Adv_D,3,3,3,3,3
Adv_D,4,4,3,4,3
Adv_D,2,3,3,1,3
Adv_D,3,3,2,2,1
Adv_D,3,3,4,2,2
Adv_A,4,4,4,4,4
Adv_D,4,3,1,5,2
